id,id1,id2,word,visual_context,is_related
52057	52058	52059	boring	a large airplane is flying in the sky	0
51144	51145	51146	p	a train is traveling down a track next to a building	0
40494	40495	40496	iso	a group of people sitting on a sidewalk next to a fire hydrant	0
3390	3391	3392	bakery shop plate gs	a large truck is parked in a parking lot plate	1
29240	29241	29242	winner	a street scene with a street sign and a street light electric	1
20941	20942	20943	dn	a teddy bear sitting on a red suitcase	0
17284	17285	17286	hiram	a laptop is sitting on a table next to a laptop	0
20864	20865	20866	dellay	a large airplane flying through the sky	0
14235	14236	14237	snowdirg	a train is pulling into a train station	0
33808	33809	33810	8	a plate of food with a fork and a fork steam	1
21375	21376	21377	co	a stop sign with a stop sign on it	0
21881	21882	21883	dolly	a black and white cow standing in a field	0
49500	49501	49502	cromwellian	a young boy is holding a stuffed animal	0
986	987	988	candy store dining aaacv	a train station with a train on the train tracks dining	1
16810	16811	16812	sledge	a man is playing tennis on a tennis court	0
40401	40402	40403	caroline	a bench is sitting on a sidewalk near a tree	0
22958	22959	22960	53	a stop sign with a sign on top of it	0
19176	19177	19178	c	a man is standing in front of a large crowd of people	0
12806	12807	12808	maura	a clock tower with a clock on top of it	0
53229	53230	53231	gymnosperm	a group of people sitting around a table with a cake	0
36187	36188	36189	rented	a vase with flowers in it on a table	0
25712	25713	25714	field	a baseball player swinging a bat at a ball horizontal	1
47896	47897	47898	demode	a man sitting at a table with a laptop and a laptop on it	0
7166	7167	7168	restaurant kitchen wok news	a group of people standing in front of a bus wok	1
24610	24611	24612	sleenvoordo	a street sign with a traffic light on it traffic	1
29308	29309	29310	meatre	a street scene with a traffic light and a street sign hair	1
15873	15874	15875	snarling	a group of people sitting on a beach with a kite	0
46344	46345	46346	ontological	a desk with a laptop and a keyboard and a mouse	0
37191	37192	37193	collie	a red and white fire hydrant on a street corner	0
3933	3934	3935	baseball field ballplayer autodate	a street sign with a sign on the side of it ballplayer	1
32670	32671	32672	dodgers	a man is playing baseball in a baseball game restaurant	1
2711	2712	2713	coffee shop restaurant wan	a plate of food with a fork and a fork restaurant	1
36881	36882	36883	corks	a man is riding a horse in a parade	0
17389	17390	17391	woc	a baseball player swinging a bat at a ball	0
4642	4643	4644	railroad track electric army!	a group of people sitting around a table with a cake electric	1
50705	50706	50707	nee	a group of people standing next to a bus	0
27276	27277	27278	and	a large city street with a city street brassiere	1
47698	47699	47700	fi	a group of people standing around a fire hydrant	0
28880	28881	28882	i	a baseball player swinging a bat at a ball airliner	1
7389	7390	7391	ski slope ski co	a group of people sitting on a bench in front of a building ski	1
19893	19894	19895	ve	a parking meter with a parking meter on the side of the road	0
37553	37554	37555	conventionality	a pair of scissors with a knife and a knife	0
40112	40113	40114	polity	a person holding a cell phone in front of a tree	0
24978	24979	24980	billabong	a man is surfing in the ocean with a surfboard cloak	1
11314	11315	11316	breakaways	a man is snowboarding down a snowy slope	0
